date,buyHoldSpy,smaTiming,timeSeriesMomentum,dualMomentum,meanReversion
2011-01-04,1.0,1.0,1.0,1.0,1.0
2011-01-05,1.004697,1.004697,1.000396,1.003676,0.997712
2011-01-06,1.00273,1.00273,0.995073,0.997637,0.998784
2011-01-07,1.000762,1.000762,0.992683,0.995242,1.000214
2011-01-10,0.999503,0.999503,0.994579,0.998424,1.000689
2011-01-11,1.003045,1.003045,0.99855,1.001007,1.003235
2011-01-12,1.012097,1.012097,1.006738,1.006627,1.012289
2011-01-13,1.010444,1.010444,1.005924,1.004104,1.011638
2011-01-14,1.017764,1.017764,1.008833,1.00546,1.011638
2011-01-18,1.019496,1.019496,1.01094,1.010469,1.011397
2011-01-19,1.009499,1.009499,1.003493,0.998111,1.011878
2011-01-20,1.008161,1.008161,0.994478,0.988428,1.010795
2011-01-21,1.010444,1.010444,0.99452,0.986033,1.011036
2011-01-24,1.01619,1.01619,0.998616,0.98844,1.015775
2011-01-25,1.016741,1.016741,0.998845,0.992133,1.016326
2011-01-26,1.020676,1.020676,1.005188,1.000621,1.015068
2011-01-27,1.023195,1.023195,1.00491,0.998632,1.015792
2011-01-28,1.005327,1.005327,0.993583,0.991097,1.016276
2011-01-31,1.012884,1.012884,0.999851,0.996753,1.016156
2011-02-01,1.029099,1.029099,1.01294,1.007618,1.015043
2011-02-02,1.027131,1.027131,1.012012,1.005489,1.014437
2011-02-03,1.029414,1.029414,1.012884,1.008194,1.01347
2011-02-04,1.032326,1.032326,1.010921,1.008213,1.012624
2011-02-07,1.03878,1.03878,1.015147,1.016417,1.01214
2011-02-08,1.043503,1.043503,1.019442,1.022515,1.010809
2011-02-09,1.041142,1.041142,1.017111,1.020653,1.011535
2011-02-10,1.041536,1.041536,1.014282,1.023938,1.011052
2011-02-11,1.047754,1.047754,1.019941,1.032339,1.011052
2011-02-14,1.050273,1.050273,1.021906,1.034983,1.011052
2011-02-15,1.046967,1.046967,1.020129,1.03125,1.011535
2011-02-16,1.053579,1.053579,1.025636,1.037015,1.011415
2011-02-17,1.056727,1.056727,1.028976,1.039677,1.012624
2011-02-18,1.058931,1.058931,1.030457,1.040649,1.012986
2011-02-22,1.037679,1.037679,1.016277,1.01869,1.014076
2011-02-23,1.031303,1.031303,1.015951,1.007179,1.013833
2011-02-24,1.030594,1.030594,1.015574,1.008547,1.012122
2011-02-25,1.041614,1.041614,1.029766,1.027575,1.022945
